txop_num,duration,termination_time,From,To,Ended Properly
659,128,1603245669,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
660,128,1603249308,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
661,128,1603250836,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
662,136,1603252525,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
663,61,1603255753,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:94,yes
664,60,1603268912,ba:6d:f7:23:94:aa,1c:28:af:1f:0d:91,yes
665,128,1603273220,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
666,60,1603281703,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:94,yes
667,128,1603288693,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
668,1747,1603309340,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
669,7839,1603317223,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:94,no
670,61,1603317284,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:94,yes
671,61,1603325772,ba:6d:f7:23:94:aa,1c:28:af:1f:0d:91,yes
672,889,1603337514,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
673,547,1603338105,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
674,137,1603338286,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
675,60,1603365050,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:94,yes
676,60,1603373192,ba:6d:f7:23:94:aa,1c:28:af:1f:0d:91,yes
677,3846,1603377208,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
678,315,1603377568,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
679,60,1603399509,ba:6d:f7:23:94:aa,1c:28:af:1f:0d:91,yes
680,128,1603415693,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
681,128,1603416009,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
682,128,1603418321,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
683,356,1603420579,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
684,5097,1603425720,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
685,136,1603425901,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
686,136,1603426510,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
687,128,1603428090,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
688,136,1603428657,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
689,7487,1603455806,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
690,60,1603456129,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:94,yes
691,128,1603457950,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
692,333,1603459060,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
693,317,1603459421,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
694,567,1603460032,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
695,207,1603461340,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
696,397,1603461781,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
697,538,1603462363,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
698,5042,1603467449,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
699,61,1603473951,ba:6d:f7:23:94:aa,1c:28:af:1f:0d:91,yes
700,60,1603482077,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:94,yes
701,379,1603499170,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
702,964,1603503348,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
703,374,1603503766,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
704,438,1603504248,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
705,381,1603504673,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
706,150,1603504867,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
707,60,1603517654,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:94,yes
708,3645,1603523119,1c:28:af:1f:0d:94,a6:70:72:f8:56:5e,no
709,1906,1603525332,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
710,6049,1603531426,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
711,1859,1603538287,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
712,856,1603541984,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
713,534,1603543696,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
714,769,1603544509,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
715,695,1603545248,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
716,575,1603545867,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:94,no
717,60,1603545927,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:94,yes
718,128,1603550478,dc:45:46:79:db:af,1c:28:af:1f:0d:94,yes
719,329,1603561197,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
720,309,1603561551,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
721,3694,1603565289,2e:36:f4:3b:e9:b6,1c:28:af:1f:0d:91,no
722,622,1603565955,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:94,no
723,61,1603566197,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:94,yes
724,3485,1603569792,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:94,no
725,60,1603569852,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:94,yes
726,326,1603573129,a6:70:72:f8:56:5e,1c:28:af:1f:0d:94,no
727,1546,1603574720,1c:28:af:1f:0d:91,ba:6d:f7:23:94:aa,no
728,762,1603580012,ba:6d:f7:23:94:aa,1c:28:af:1f:0d:91,no
729,402,1603581337,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
730,1307,1603582688,1c:28:af:1f:0d:94,dc:45:46:79:db:af,no
731,776,1603584179,1c:28:af:1f:0d:91,ba:6d:f7:23:94:aa,no
732,607,1603587466,1c:28:af:1f:0d:91,2e:36:f4:3b:e9:b6,no
733,771,1603588476,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
734,543,1603589063,dc:45:46:79:db:af,1c:28:af:1f:0d:94,no
