txop_num,duration,termination_time,From,To,Ended Properly
2417,404,3123519282,1c:28:af:1f:0d:91,7e:b4:96:5e:af:45,no
2418,422,3123519763,1c:28:af:1f:0d:91,7e:b4:96:5e:af:45,no
2419,358,3123520180,1c:28:af:1f:0d:91,7e:b4:96:5e:af:45,no
2420,322,3123520561,1c:28:af:1f:0d:91,7e:b4:96:5e:af:45,no
2421,116,3123520736,1c:28:af:1f:0d:91,7e:b4:96:5e:af:45,yes
2422,60,3123524079,e4:c7:67:97:31:14,1c:28:af:1f:0d:91,no
2423,112,3123532757,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2424,46,3123535973,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2425,60,3123540654,f6:1d:7c:23:62:7f,1c:28:af:1f:0d:91,no
2426,47,3123543060,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2427,49,3123547875,1c:28:af:1f:0d:91,f6:1d:7c:23:62:7f,no
2428,112,3123580660,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2429,46,3123583987,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2430,61,3123599290,f6:1d:7c:23:62:7f,1c:28:af:1f:0d:91,no
2431,904,3123611533,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,no
2432,112,3123611645,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2433,112,3123626776,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2434,46,3123630086,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
2435,61,3123633396,e4:c7:67:97:31:14,1c:28:af:1f:0d:91,no
2436,60,3123636755,e4:c7:67:97:31:14,1c:28:af:1f:0d:91,no
2437,60,3123650634,f6:1d:7c:23:62:7f,1c:28:af:1f:0d:91,no
2438,22161,3123673356,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,no
2439,129,3123673485,ec:4c:8c:39:47:f2,1c:28:af:1f:0d:91,yes
2440,46,3123677174,1c:28:af:1f:0d:91,ec:4c:8c:39:47:f2,no
